,title,description,publishedAt,channelId,videoId,channelTitle,liveBroadcastContent
0,THE 15 EASIEST SKATEBOARD TRICKS FOR BEGINNERS | HOW TO SKATEBOARD EP. 16,Do you want to learn how to skateboard? At Braille Skateboarding our goal is to show everyone how fun skateboarding can be and help them progress! If you're ...,2019-08-27T17:00:01.000Z,UC9PgszLOAWhQC6orYejcJlw,DK797d9ozN0,Braille Skateboarding,none
1,People With Amazing Talent! (Skateboarding),People With Amazing Talent! (Skateboarding) New merch: https://strictlyskate.bigcartel.com ❤️ Strictly Skateboarding ❤️ ○ Instagram: ...,2018-12-01T00:30:18.000Z,UCRSDNqcqJR8m81-bVttpCCw,cBffbgSb_UU,Strictly Skateboarding,none
2,THE FASTEST ELECTRIC SKATEBOARD RACES A PRIUS?!?!,Huge thanks to AEBoard for sponsoring this video and giving us the chance to try out this board! Use promo code “SC99.99” for $99.99 off the AEboard AX Plus ...,2019-08-28T17:00:05.000Z,UC9PgszLOAWhQC6orYejcJlw,bXNFdwpzP5E,Braille Skateboarding,none
3,Skaters EXTREME Skateboarding 2019! (Wins &amp; Fails),Skaters EXTREME Skateboarding 2019! (Wins & Fails) NEW DROP: https://strictlyskate.bigcartel.com ❤️Strictly Skateboarding ❤️ ○ Instagram: ...,2019-08-16T22:36:25.000Z,UCRSDNqcqJR8m81-bVttpCCw,r8iOvj0m7hI,Strictly Skateboarding,none
4,FATHER SON SKATEBOARDING! /New Smaller Board For Kids!,Subscribe For Daily Videos! Get Skateboard Gear at http://www.theshredquarters.com It's time for a trip to the skatepark to skateboard! It was super fun testing ...,2019-06-11T20:00:00.000Z,UCDlMf3zbdoWYzTwQsaD0fRA,BJNMftVzVLU,AndrewSchrock,none
5,Just CLEAN Skateboard Tricks... 2019 (Skaters vs Tricks),Just CLEAN Skateboard Tricks... 2019 (Skaters vs Tricks) ▷ Yocaher Skateboards: https://shop.yocaher.com/yocaher-riders-pick/ Merch: ...,2019-08-25T21:59:08.000Z,UCRSDNqcqJR8m81-bVttpCCw,En1ZSdMOn2w,Strictly Skateboarding,none
6,HOW TO SKATEBOARD FOR BEGINNERS | HOW TO SKATEBOARD EPISODE 1,Learn how to skateboard! Get everything you need to skateboard and have fun learning tricks at https://www.brailleskateboarding.com Skateboarding Made ...,2015-05-24T18:05:09.000Z,UC9PgszLOAWhQC6orYejcJlw,p3NXd3DhH08,Braille Skateboarding,none
7,Raw Run || 70 mph in Switzerland,8th raw run in the series. Subscribe for more! Instagram: @josh_neuman1 Film: @jake_from_skatefarm.,2019-04-25T21:34:47.000Z,UCMaHobSU33-_hCM6ASjGNZQ,vSBcrmx4aFw,Josh Neuman,none
8,"12 Years Old - 1,5 Years of Skateboarding Progression",Try Dashlane Premium free for 30 days here: https://www.dashlane.com/skateboardbruh The first 200 people to purchase get 10% off with coupon code ...,2019-08-29T17:00:00.000Z,UCB6hdydB90yEVv5mpkjv2CA,5bXNAs0zxJU,Skateboard Bruh,none
9,KICKFLIPPING A GLASS SKATEBOARD WITH GLASS WHEELS?! | YOU MAKE IT WE SKATE IT EP 72,Big thanks to Avenue Trucks for sending us this glass skateboard deck with glass wheels and their unique suspension trucks. We put it to the test with a kickflip.,2016-12-11T18:10:35.000Z,UC9PgszLOAWhQC6orYejcJlw,XdOmNZgxpDI,Braille Skateboarding,none
10,Skateboarding vs. Longboarding (Wins &amp; Fails),Skateboarding vs. Longboarding (Wins & Fails) https://strictlyskate.bigcartel.com ❤️ Strictly Skateboarding ❤️ ○ Instagram: ...,2018-10-08T23:30:29.000Z,UCRSDNqcqJR8m81-bVttpCCw,OzHIjcVK4Lg,Strictly Skateboarding,none
11,16 erstaunlichste Skateboards!,"TechZone ▻ https://goo.gl/UoTzuJ Das Skateboard Fahren stammt aus dem Jahr 1950 aus dem sonnigen Kalifornien, der Stadt des Surfens. Damals ersetzte ...",2018-01-11T14:08:50.000Z,UCtjiRW7g8WFVg_tiFX-9gsA,rKIY2oEdZiQ,#Mentale Zuflucht,none
12,BEST! Skateboarding Tricks of The Year 2018,BEST! Skateboarding Tricks of The Year 2018 New merch: https://strictlyskate.bigcartel.com ❤️ Strictly Skateboarding ❤️ ○ Instagram: ...,2018-11-09T00:30:07.000Z,UCRSDNqcqJR8m81-bVttpCCw,tbXMyzD8b9c,Strictly Skateboarding,none
13,10 Skateboarding Fails,"A compilation of skateboarders, skateboarding incorrectly- WATCH 'TIL THE END BUY SKATE MERCH HERE: (Free Shipping over $75!) https://bit.ly/2GspcgB ...",2015-09-16T00:42:46.000Z,UC3xzz9L0K_-D9lJ9RlDK7VQ,9BtT_141BR0,ChrisMcNugget,none
14,Skaters vs Big Ramps Skateboarding! (Wins &amp; Fails),Skaters vs Big Ramps Skateboarding! (Wins & Fails) https://strictlyskate.bigcartel.com ❤️ Strictly Skateboarding ❤️ ○ Instagram: ...,2018-07-12T23:31:19.000Z,UCRSDNqcqJR8m81-bVttpCCw,Bov2v3pQVrU,Strictly Skateboarding,none
15,Underwater Skateboarding Haleiwa Hawaii,Join the Ohana http://www.instagram.com/jaseboards http://www.facebook.com/jaseboards (give us a like!) tweet us up! https://twitter.com/#!/jaseboards ...,2012-04-03T22:32:43.000Z,UCcg-2Mi1En9ueeFbFjoHe3Q,9g-5J05BIiQ,jaseboarding,none
16,Skateboarding Vs. Scooter,Skateboarding Vs. Scooter ❤️Subscribe: https://tinyurl.com/yxzh4o5y In this video we'll be comparing Skateboarding's biggest rival... The Scooter. Leave your ...,2017-10-04T19:48:24.000Z,UCRSDNqcqJR8m81-bVttpCCw,eJN50vyz52c,Strictly Skateboarding,none
17,WHAT IS A QUADLINE SCORPION?!?! | MYSTERY BOX EP. 19,"We could not resist trying out these crazy skates. If it has wheels, we want to skate it and honestly Gabe rocks most of these things! What other crazy contraptions ...",2019-08-29T17:00:09.000Z,UC9PgszLOAWhQC6orYejcJlw,evbBw8TrZow,Braille Skateboarding,none
18,My Worst Skateboarding Fall Ever,"The worst Skateboarding slam I've ever taken. Subscribe for new videos! - http://youtube.com/TyMoss #NoSleepTeam Shirts, Hoodies and Bracelets!",2016-08-28T19:30:01.000Z,UC2ImebE8ylVbAEHyG9r4Pqg,qWtCh2MWKh8,Ty Moss,none
19,Dream Build Skateboard,Subscribe http://goo.gl/hYNWC3 http://www.skatedosonhos.com.br 10% de desconto use: RODFILMES2019 https://vibestore.com.br/ Cupom: ROD10 ...,2019-06-02T21:00:42.000Z,UCQY5qmmyjvJckOh--LWHnQg,pGkFoGrAC8I,rodfilmes,none
20,These People are INSANE! 2019 (Skateboarding),These People are INSANE! 2019 (Skateboarding) New merch: https://strictlyskate.bigcartel.com ❤️ Strictly Skateboarding ❤️ ○ Instagram: ...,2019-01-05T00:30:05.000Z,UCRSDNqcqJR8m81-bVttpCCw,w12S-BYFwEM,Strictly Skateboarding,none
21,Impossible Skateboarding Tricks!,"These skateboarding tricks that will impress you, and these skateboarding tricks will make you think twice! The progression of skateboarding has become so ...",2018-09-10T20:29:25.000Z,UChidKOfOt7l9aK-14GdLLOg,ovuQxPu17xI,Skatehub,none
22,Lil Wayne  | SKATEBOARD | 2019,"Early Life. Rapper Lil Wayne was born Dwayne Michael Carter Jr. on September 27, 1982, in New Orleans, Louisiana. Lil Wayne has been creating music since ...",2019-08-29T23:43:38.000Z,UC7GsR6NwKEy8SmDKRtXdIZw,mL1gfW50AuI,Carlos Rick,none
